category	offset_hex	length	text
sequencer_song	0xb203c	15	Save a Sequence
midi_program	0xb20c0	14	Save a Program
midi_program	0xb20dc	12	PROGRAM ONLY
sampling_audio	0xb20ec	12	WITH SAMPLES
sampling_audio	0xb20fc	21	Replace same samples:
sequencer_song	0xb2114	21	Save ALL Seqs & Songs
midi_program	0xb213c	17	Save ALL Programs
storage_filesystem	0xb21f8	14	AUTOLOAD file.
storage_filesystem	0xb2208	8	AUTOLOAD
storage_filesystem	0xb2214	22	Autoload Folder Exists
storage_filesystem	0xb222c	26	  AUTOLOAD folder exists!!
storage_filesystem	0xb2268	25	existing AUTOLOAD folder.
midi_program	0xb2344	11	NOTE ONLY  
midi_program	0xb2354	11	EXCEPT NOTE
sequencer_song	0xb23d4	11	TEMPO      
sequencer_song	0xb23f4	11	TRACK MUTE 
midi_program	0xb245c	5	Note:
sequencer_song	0xb247c	10	ALL TRACKS
storage_filesystem	0xb2518	28	MPC2500 Memory Card     1.00
storage_filesystem	0xb253c	52	MPC2500 Hard Disk       1.00Internal memory erasing 
midi_program	0xb2590	20	Loading program.....
sequencer_song	0xb25a8	14	ALL_SEQS&SONGS
sequencer_song	0xb25b8	16	Loading sequence
update_flash	0xb25dc	21	   Flash ROM erasing 
update_flash	0xb25f4	21	   Flash ROM Writing 
storage_filesystem	0xb2730	8	AUTOLOAD
sequencer_song	0xb2780	25	Num beats = %d : tempo %d
storage_filesystem	0xb2a18	12	AFat12Volume
storage_filesystem	0xb2a28	12	AFat16Volume
storage_filesystem	0xb2a38	12	AFat32Volume
storage_filesystem	0xb2a48	8	MSDOS5.0
storage_filesystem	0xb2a54	11	MPC2500DISK
storage_filesystem	0xb2a60	8	FAT12   
storage_filesystem	0xb2a6c	8	FAT16   
storage_filesystem	0xb2a78	8	FAT32   
storage_filesystem	0xb2c0c	13	ACompactFlash
storage_filesystem	0xb2c1c	9	AHardDisk
midi_program	0xb2cf8	19	Create new program:
sequencer_song	0xb2d0c	15	Original tempo:
sampling_audio	0xb2d84	11	New sample:
